date,event,keyword,image
2013,Lam Ho Yi was found dead at the water tank on top of the hotel in LA. She was captured by security camera doing weird actions.,"water tank, bewitched",images/icebox.jpg
1993,Brett Cantor was stabbed and almost decapitated at home.,decapitation,
2017,"Yingying Zhang got into a black car and disappeared. The criminal's audio file talking about how he abducted Zhang was obtained by FBI, but the body was not found.","""how to abduct a person""",
1969,Betsy Aardsma was stabbed in the chest in the library.,library,
2015,An old man was locked in a pigeon cage for 20 years.,pigeon cage,
2016,"A group on the internet that induce teenagers to complete a set of self-harming ""games"", known as ""Blue Whale"" and eventually commit suicide, causing more than 130 teenagers die.",sucide game,
1931,"Carl Tanzler stole the corpse of Hoyos, the woman he was in love with, and stored it at home.",stealing corpse,
2000,Two women who both named Marry Morris was found dead in their cars and killed in similar manners.,same name die in the same way,
1983,A cryptic riddle found in the plastic bad near Franscisco Patino Gutierrez's corpse in Florida.,riddle,
2007,Peterson murdered all of his four wives.,four wives,
2002,"Gina DeJesus, Amanda Berry, Michelle Knight were held in Ariel Cstro's home for more than 10 years, being tortured and dead.",confinement,
1976,"Four children were found dead in public place, proved to be murdered through strangulation and shotguns.",public,
2009,"The Jamison family went missing on their trip to buy land. Their dead bodies were found four years after they disappeared, theories about commited group suicide, or killed by a violent cult were made, but still remained unknown.","group suicide, violent cult",
2009,"Miguel Jose Viana, Manoel Pereira da Cruz drove at 60 mph for two milles in the opposite direction and died in a car collision.",drive in opposite direction on purpose,
1966,"Miguel Jose Viana, Manoel Pereira da Cruz found dead in lead masks and covered by grass",lead mask,
1945,"The Sodder family's house was on fire. It was first thought as an accident, but later discovered that the family's phone line had been cut, and the ladder was discarded.",premediated accident,
1992,"Sherrill Levitt, Suzie Streeter, Stacy McCall' mysteriously vanished from home. Investigators received a tip claiming the women were buried under the foundations of a local hospital parking lot, but digging up the concrete was not justified","buried, hospital parking lot",
1994,"Nicholas Barclay was kidnapped after playing basketball in the neighborhood, but three years after, someone claimed that he was Barclay but later proved that he was not Barclay but a serial imposter.",serial imposter,
1978,"A man raped the girl, cut off her forearms with a hatchet and tossed her over a cliff and left her to die in the desert.","hatchet, cliff",
2001,10 Americans were decapitated by Islamic terrorists and having the video posted on the internet,live streaming murder,
2011,"Raul Berrera stabbed Sarah Coit over 30 times, disemboweled her, slashed her throat and left her still breathing with a knife in her skull",knife in skull,
1947,"Elizabeth Short was found dead in a vacant lot in LA, naked and dismembered, cut in half at the waist, with a large slice from each corner of her mouth creating a bizarre smile effect",bizzare smile,
1978,"Jeffrey Dahmer raped and murdered 17 men and boys, cutting the flesh off the bones, kept some of the body parts in his refrigerator for sexual purposes at his leisure.",masterbating tool,
1980s,"Robert Berdella tortured and killed six men, chopped their bodies into small pieces, and stuffed their remains into dog-food bags",dog-food bags,
1980s,"Herb Baumeister lured gay men, 10-20 in total, to his pool house, strangled them and dumped them in his backyard.",backyard,
1965,"Sylvia Likens was found dead in Indiana, covered in cigarette burns.",cigarette burns,
1980s,"Dennis Rader broke into victims' homes and stalk them before making moves, and eventually bind, torture, and kill them.",stalking,
2018,"David Turpin, Louise Turpin tortured and abused 13 sibilings in their house.","sibilings, confinement",
2017,Christopher Tucker killed a 19-year-old woman after she refused his marriage proposal.,love loser,
2017,"Zachary Koehn, Cheyanne Harris murdered their son, and let 4-month-old son's body rotting in their home.","son, rotting",
2017,"Savanna Greywind disappeared while she was 8-month pregnant, and her dead body was found in a river, while the newborn baby was discoverd in the apartment of her neighbors.",stealing fetus,
2017,Debra Wisler abandoned her disabled son after learning he was not eligible for a child program at a military base.,"for not being a ""normal"" child",
2017,Arturo Novoa stored her corpse in the fridge and had another woman pretend to be her.,fridge,
2017,Marinna Rollins tortured and shot her therapy dog and filmed the process.,filming the murder,
1980s,"Donald Harvey took patients off life support or put cyanide or arsenic in their IV drips, causing 87 people die.",doctor's conspiracy,
1905,"Lisa Montgomery strangled her close friend, Bobbie Jo Stinnett, cut up her belly and took out her baby.",stealing fetus,
1918,"A series murders occucered and killed by the axes. Police received a note saying that if people played jazz music loudly, their lives would be spared.",axeman,
1971,"John List murdered his wife, three kids, and mom, and lied to people that they were going out of town.",killing family,
2000,"Candace Newmaker involved in an intensive therapy, which was to be wrapped in flannels and unable to escape. He suffocated eventually.",intensive therapy,
1970s,"John Wayne Gacy played ""Pogo the Clown"" at children's parties, and tortured, raped and murdered 33 young men.",clown,
1993,Lorena Bobbitt's penis was cut off by his wife in retaliation for years of sexual abuse.,retaliation,
1977,David Berkowitz murdered six people in New York and claimed that demons had instructed him to kill.,demons,
1960s,"A series of letters were sent to California newspapers confessing to 37 murders, and threatened that the murder would go on if the letters were not published.",newspaper,
1960s,"A group of young women and men were forced to join ""The Family"". Five people were murdered, including director Roman Polanski's pregnant wife, Sharon Tate.",movie crew,
1940s,"Plainfield Ghoul isolated himself after his parents' death, infatuated with death, and killed 15 older women.",trauma,
1968,"Rodney Alcala raped and strangled five women, most of them were young teenagers.",young teenagers,
1995,"Timothy McVeigh, a terrorist, bombing of the Alfred P. Murrah Federal building, causing death of 168 people.",bombing the building,
2016,"22-year-old Jasmine killed her family under the influence of her boyfriend, who claimed himself to be a 300-year-old werewolf.",werewolf,
1981,Issei Sagawa killed Renee Hartvelt. He ate parts of the corpse and stored the remains inside the suitcases.,corpse eater,
,A man found dead in a confined sewer in a public restroom. No evidence indicating how he got into the sewer was found.,sewer in public restroom,
1999,A man was murdered. His bodies was dimembered and stuffed in a Hello Kitty toy in a Hong Kong hotel.,Hello Kitty toy,
1940s,John George burned victims in sulphuric acid.,sulphuric acid,
1970s,Dennis Nilsen lured men at bar and killed them. He would bathe and dress the bodies.,dress up corpse,
2000,"Katherine Knight stabbed her partner, John Price, to death, decapitated him, cooked up parts of his body and served them to her child.",corpse eater,
2009,Annie Le's body was found stuffed inside a supply closet on her wedding day.,supply closet,
1957,A young boy was found dead in a box in the woods. He was beaten to death by a woman who treated him as a sex toy and eventually beated him to death.,boy in the box,
1965,Fred and Edwina's bodies were found in a fridge and were proved to be there over a week. The criminal was never found.,refrigerator,
1959,"Bodies of nine students were found buried in the snow, but some of the bodies are unharmed. No criminal was identified.",buried alive,
1922,"A family of six was murdered, and their heads were split by axe. Their bodies were being stacked in a small farm.",spliting head,
2006,"On the same day in 2006 and 2008, the same criminal murdered one Hispanic woman on each day.",February 9 killer,
1940s,John George Haigh murdered six people in total and dissolved the victims in acid because he thought he would avoid being caught if there was no bodies.,acid bath,
1600s,BÃ¡thory killed over 650 young women and bathe in the blood of virgins to stay young.,the blood countess,
1988,"Junko Furuta was kidnapped by four boyes, later beated, raped, tortured and eventually killed. Her body was then tossed into a giant drum filled with concrete.",buried in concrete,
1884,"Belle Gunness killed most of her boyfriends, two husbands, and both of her daughters and feed them to her pigs.",family ,
1970s,"Dean Corll lured boys to his home with candies. He then raped, tortured, and murderd at least 29 young men.",the candy man,
2014,A head that later identified to belong to an old woman was found in Pennsylvania with rubber balls in the eye sockets.,rubber balls,
1956,"Barbara Grimes and Patricia Grimes were found dead by the side of a road in the middle of nowhere, but during the investigation, many witnesses claimed that they've seen the sisters after the day they died.",dead rebirth,
2011,Hao Li abducted and kept six women in the basement of his home. Some of the women eventually had a weird affection towards him and helped him to kill the ones that were trying to rebel.,affection for the murderer,
2008,Yongming Zhang killed and dismembered eleven people. He cut out their eyeballs and soak them in alcohol and the remains fed dogs.,eyeballs in alcohol,
1966,A black man murdered three women during the house robbery in Japan becasue he thought the way they looked at him made him feel uncomfortable.,inferiority complex,
1976,At least four children were abducted and slain by a serial killer in Cleveland.,Oakland County Child Killer,
1989,A year after a young woman went missing. A polaroid photo of her being abducted was found in the parking lot of a convenience store in Florida.,mysterious polaroid photo,
1888,"A serial killer murdered five prostitutes in total and sent half of a kidney from the victim to the Whitechapel Vigilance Committee to threaten the public, but the criminal was never found.",Jack the Ripper,
1900s,A man had raped more than a thousand men and murdered twenty one of them because he was sexually assaulted when he was in prison.,rampage avenge,
1997,"A 14-year-old man murdered a teenage boy, cut up his throat, drank his blood, washed his head and placed it in front of his school.",head found in school,
1960s,"Albert Dekker was hung in his apartment bathroom, had needles in his arms and explicit language written all over his body with lipsticks. The bathroom was locked inside and there was no other exits.",locked room,
1983,Zhimin Long murdered 48 people and stored them at home.,rampage killing,
1986,"Ten women were raped and killed. There were random objected being stuffed in their sexual organ. The oldest was 71, while the youngest was 13.",stuffed body,
2009,"Two man and a woman were having a party, but the men were starving so that they killed the girl and ate her body.",corpse eater,
2003,A Korean man killed 19 people and ate their organs because his hatred towards the rich.,corpse eater,
2010,Shijie Zeng killed one of his classmates for assaulting his appearance.,inferiority complex,
1996,Aiqing Diao went missing for nine days and found dead and dismembered into more than 2000 pieces. Some of the remains were boiled.,2000 pieces,
1990,"Wenge Jia killed 20 people in a year, the 21st one he planned to kill fell in love with him and helped him with murdering.",affection for the murderer,
1988,Gao raped and killed 11 women in total. He only targeted young women dressed in red.,red dress,
2013,Four people have sexually assaulted a woman for 8 hours and eventually killed her and her husband.,8 hours sexual assault,
2009,"Zhijun Kuang, a 13-year-old boy was found hung in his own house, wearing a red dress, and being tightened by rope in a very professional way, but the murderer wasn't found.",boy in red,
2012,Wu abducted and killed a woman in his house and chopped her body into 400 pieces.,400 pieces,
1967,Lucila Lalu's legs were found in a pile of trash.,dismembered,
1979,"All four children of the Tan family were murdered in their apartment in Singapore, and their bodies were mutilated and stacked on top of each other inside the bathroom.",family ,
1993,"A Malaysian witch doctor convinced a politician to lie down and close eyes for a ritual, and then cut his head off and mutilated his body.",witch ritual,
1982,"A 12-year-old boy died after taking Tylenol for her cold, and it turned out that the bottle of Tylenol was once purchased by someone else and returned poisoned.",Tylenol,
1934,"A man murdered 13 people, decapitated the victims while they were still alive and ripped out a victim's heart.",heart ripper,
1948,"A man was found dead near the Somerton Beach in Adelaide. No signs of violence or struggle was found on him, but there was a mysterious book that had a ciphered message only visible through UV light, and a note saying that ""It is ended.""",ciphered book,
1984,"Zhiheng Huang killed the Lin family following a financial dispute. He dismembered the bodies, cooked the remains, and served their meat inside the pork buns in the restaurant the Lin owned.",corpse eater,
1980s,Lam Kor-wan targeted 15 female victims and strangled them with wires on rainy day only.,rainy day,
2017,The bodies of two missing Chinese women were found  in a mountainous area near Tokyo. Their bodies were folded and stuffed in sperate suitcases.,suitcases on mountain,
2016,Satoshi Uematsu stabbed 19 people at a care home as they slept because his discrimination towards the disabled.,discrimination,
2005,Hiroshi Maeue deceived 3 members in an internet-based suicide club. He invited a boy to commit suicide together but ended up suffocating him to death.,suicide club,
1995,"members of the Aum Supreme Truth doomsday cult released 5 bags of poisonous gas on 3 subway lines in Tokyo, causing death of 13 people and 6000 other injured.",doomsday cult,